produit	libellé	origine	résumé	description	prix TTC	grammage	conditionnement	TVA	réference	Photos	Temps d'infusion 	Température	Quantité/L	Non actif
Gunpowder bio	thé vert bio	Chine	Ce Gunpowder est un thé à la feuille roulée ; il est récolté dans la province de Jiangsu en Chine. Thé digestif et velouté à la liqueur dorée, au parfum frais et subtil, convient pour toute la journée. Thé de prédilection du rituel marocain qui s'accompagne très bien de feuilles de menthe fraîche.	Thé vert de Chine, Gunpowder issu de l'agriculture biologique, non aromatisé, avec des feuilles entières.	"8.50€
4.50€"	"100gr
50gr"	sachet kraft	5,50 %	TV001	"gunpowder_bio_sachet.jpg
gunpowder_bio_vrac.jpg"	2-3 mn	80°C	12/15g/L	
Matcha à cuisiner bio	thé vert bio	Chine	Ce Matcha à cuisiner est idéal pour accompagner vos plats et patisseries. Faites place à votre créativité avec ce thé en poudre, délicat et unique.	Thé vert Matcha issu de l'agriculture biologique, non aromatisé, classification des feuilles broken.	24.50€	30gr	sachet hermetique	5,50 %	TVM01	"matcha_cuisine_bio_sachet.jpg
matcha_cuisine_bio_vrac.jpg"	0,25 mn	80°C	1g/L	
Thé pu erh bio	thé pu erh	Chine	Le thé Pu Erh est recolté dans la province de Yunnan. Celui-ci est issu de grandes feuilles de thé vert fermentées qui donnent un thé rouge corsé avec une liqueur terreuse et une tasse foncée. Il est largement utilisé dans la médecine chinoise pour ses propriétés médicinales.	Thé Pu Erh de Chine, issu de l'agriculture biologique, non aromatisé, avec des feuilles entières. 	"14.90€
7.50€"	"100gr
50gr"	sachet kraft	5,50 %	TPE01	"the_pu_erh_bio_sachet.jpg
the_pu_erh_bio_vrac.jpg"	4-5 mn	100°C	12g/L	
China oolong shui xian bio	thé oolong	Chine	La cueillette de notre thé Oolong est faite à la main et est riche en grosses feuilles et bourgeons. Le Oolong semi fermenté de qualité supérieure se rapproche du thé vert avec plus de complexité apportée au debut de la fermentation. Celui-ci donne une tasse claire avec une saveur aromatique fraiche, des notes florales marquées. Pauvre en théine, notre thé peut être bu tout au long de la journée.	China Oolong issu de l'agriculture biologique, non aromatisé, avec feuilles entières. 	"14.90€
7.50€"	"100gr
50gr"	sachet kraft	5,50 %	TO001	"china_oolong_shui_xian_bio_sachet.jpg
china_oolong_shui_xian_bio_vrac.jpg"	1-3 mn	80°C	12-15g/L	
Rooibos nature bio	rooibos	Afrique du sud	"Le Rooibos, appelé ""thé rouge"", est la boisson reine de l'Afrique du Sud et se boit par tout le monde, du plus jeune au plus ancien et à toute heure de la journée. Cette infusion rouge cuivrée au parfum doux et suave ne contient pas de théine et est pauvre en tanins mais riche en nutriments et minéraux."	Rooibos naturel issu de l'agriculture biologique, non aromatisé, classification des feuilles coupe grossière. 	"8.90€
4.50€"	"100gr
50gr"	sachet kraft	5,50 %	R0001	"rooibos_nature_bio_sachet.jpg
rooibos_nature_bio_vrac.jpg"	7-10 mn	100°C	15-20g/L	
Rooibos vert nature bio	rooibos vert	Afrique du sud	Le Rooibos vert est un rooibos non fermenté, contrairement au rooibos rouge au goût légérement citronné. Cette boisson sans caféine est idéale pour tout moment de la journée.	Rooibos vert issu de l'agriculture biologique, non aromatisé, classification des feuilles coupe grossiére.	"11.90€
6.00€"	"100gr
50gr"	sachet kraft	5.50%	R0002		7610mn	100°C	15-20g/L	0
Maté vert bio	maté	Bresil	Le maté est une infusion traditionnelle sud americaine préparée en infusant des feuilles de la plante yorba mate. Cette boisson au parfum puissant est composée de caféine.	Mate vert issu de l'agriculture biologique, non aromatisé, classification des feuilles coupe grossière. 	"12.50€
6.50€"	"100gr
50gr"	sachet kraft	5,50 %	M0001	"mate_vert_bio_sachet.jpg
mate_vert_bio_vrac.jpg"	5-10 mn	100°C	14-17g/L	
Des couleurs dans le noir.														
Chai thé noir bio	thé noir épicé	Inde	Notre thé Chai est composé de thés noir indiens épicés, avec des éclats de gingembre, cannelle, des clous de girofles, de l'anis, ainsi que de la cardamome moulue. Un régal et une explosion en bouche.	Thé noir Assam inde du sud (54%), batons de cannelle, fenouil, gingembre, anis, clous de girofle, cardamome moulue ; tous issus de l'agriculture biologique. Infusion épicée,  classification des feuilles coupe grossière. 	"9.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	IECN1	"chai_the_noir_bio_sachet.jpg
chai_the_noir_bio_vrac.jpg"	7-10 mn	100°C	15-20g/L	
Rouge passion bio	thé noir aromatisé saveur fruits rouges	Inde	Le thé noir rouge passion est la rencontre entre la profondeur corsée du thé noir Assam et la douceur des fruits rouges et de la verveine.	Thé noir Assam, Inde du sud, feuilles de mûre, arome naturel; verveine entière, raisin (raisin huile végétale), baie de sureau, framboise, mûre (2%), fraise, cassis, groseille ; tous issus de l'agriculture biologique. Saveur fruits rouge avec feuilles entières. 	"13.50€
6.80€"	"100gr
50gr"	sachet kraft	5,50 %	TNA02	"rouge_passion_bio_sachet.jpg
rouge_passion_bio_vrac.jpg"	3-5 mn	100°C	15-20g/L	
Délice fruité bio	thé noir aromatisé, mélange saveur pêche, framboise et acerola	Chine	Ce thé Délice Fruité donne un parfum acidulé et délicat de l'acerola et de la framboise sur un fond de douceur donné par la pêche.	Thé vert China, Gunpowder, thé noir Darjeeling second flush, China Oolong arôme naturel, framboise, pêche ; tous issus de l'agriculture biologique. Saveur pêche, framboise, acerola.	"10.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	TNA04	"delice_fruite_bio_sachet.jpg
delice_fruite_bio_vrac.jpg"	3-5 mn	100°C	12-15g/L	
Le comte bleu bio	thé noir aromatisé Earl Grey saveur bergamote	Inde	Ce thé noir parfumé à la bergamote donne une note savoureuse et subtile à votre degustation.	Thé noir Assam Inde du sud, arôme naturel, fleurs de bleuet ; tous issus de l'agriculture biologique. Saveur bergamote. 	"11.50€
5.80€"	"100gr
50gr"	sachet kraft	5,50 %	TNA01	"le_comte_bleu_bio_sachet.JPG
le_comte_bleu_bio_vrac.JPG"	3-5 mn	100°C	12-15g/L	
Plaid canapé bio	thé noir aromatisé saveur pomme cannelle	Inde	Ce thé noir Plaid canapé est un thé noir connu pour son corps et sa saveur maltée. Il est associé à la pomme et à la cannelle et est rehaussé par un bouquet d'épices qui donne une explosion epicée en bouche.	Thé noir Assam Inde du sud, batons de cannelle, pomme, arôme naturel, écorces d'orange, graines de coriandre, poivre rose, clous de girofle, cardamome, baies de goji ; tous issus de l'agriculture biologique. Saveur pomme,cannelle. 	"10.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	TNA06	"plaid_canape_bio_sachet.jpg
plaid_canape_bio_vrac.jpg"	3-5 mn	100°C	12-15g/L	
Soleil exotique bio	thé noir aromatisé saveur mangue citron vert	Inde	Ce thé noir Soleil Exotique est rafraichissant et idéal pour un bon thé glacé. Le côté peps du citron mélangé à la mangue apporte une touche douce et sucrée. Il vous emportera au soleil.	Thé noir Assam Inde du sud, citronnelle, pomme, arôme naturel, gingembre, fleurs de souci, papaye, morceaux de mangue, griotte, ananas ; tous issus de l'agriculture biologique. Saveur mangue, citron vert. 	"10.50€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	TNA03	"soleil_exotique_bio_sachet.jpg
soleil_exotique_bio_vrac.jpg"	3-5 mn	100°C	12-15g/L	
Cocobricot bio	thé noir aromatisé saveur abricot coco	Inde	Ce thé noir Cocobricot donne de l'éclat et de la fraîcheur à tous vos sens. La beauté du mélange, son parfum unique et son goût exceptionnel vous feront rêver.	Thé noir Assam Inde du sud, coco (8%), arôme naturel, papaye, abricot ; tous issus de l'agriculture biologique. Saveur abricot coco. 	"11.50€
5.95€"	"100gr
50gr"	sachet kraft	5,50 %	TNA05	"cocobricot_bio_sachet.jpg
cocobricot_bio_vrac.jpg"	3-5 mn	100°C	13g/L	
Pain d'épices bio	thé noir aromatisé       saveur pain d'épices	Inde/Chine	Ce thé noir Pain d'Épices, donne une saveur chaude et épicée ; idéal pour vous réchauffer en hiver. C'est une invitation à la gourmandise que vous offre ce thé. Il mêle les notes de cannelle, d'écorces d'orange, de vanille et bien d'autres épices savoureuses, ce qui vous transporte dans les jardins d'hiver.	Thé noir Assam*, -Inde du sud*, datte (datte, farine de riz)*, bâtons de cannelle*, thé vert China Sencha*, écorces d'orange*, arôme naturel, badiane*, clou de girofle*, cardamome*, cardamome moulue*, muscade*, vanille bourbon*. *Issu de l'agriculture biologique.	"10.80€
5.50€"	"100gr
50gr"	sachet kraft	5.50%	TNA07		2-4 mn	100°C	12-15g/L	0
Des vertes et des pas mûres														
Chai thé vert bio	thé vert épicé	Chine	Ce thé vert épicé donnera du pep's à votre journée. La suptilité du thé vert au fini poivré avec des épices chaudes. Tasse puissante et unique qui permet de garder de la délicatesse.	Thé vert de Chine Sencha*(54%), bâtons de cannelle*, anis*, fenouil*, gingembre*, clou de girofle*, cardamome*. *Issu de l'agriculture biologique.	"9.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	IECV1	"chai_the_vert_bio_sachet.jpg
chai_the_vert_bio_vrac.jpg"	2-3 mn	100°C	15-20g/L	
Lavande & co bio	thé vert aromatisé saveur vanille lavande citron	Chine	Ce thé vert Lavande & Co est une rencontre merveilleuse entre la Chine et la Provence. Ajoutez à cela un goût unique de vanille. Quand le thé vert danse avec la vanille, cela nous donne des saveurs délicates et raffinées.	Thé vert China Sencha, citronnelle, écorces de citron, écorces d'orange, arôme naturel : lavande (4%), vanille bourbon ; tous issus de l'agriculture biologique. Saveur lavande citron.	"9.90€
5.20€"	"100gr
50gr"	sachet kraft	5,50 %	TVA01	"lavande_and_co_bio_sachet.jpg
lavande_and_co_bio_vrac.jpg"	2-3 mn	75-80°C	12-15g/L	0
Menthe power bio	thé vert aromatisé saveur menthe poivrée	Chine	Ce thé vert Menthe Power est un mélange de thé vert Gunpowder. Fin en bouche, avec la fraicheur et le goût légérement épicé de la menthe poivrée.	Thé vert China Gunpowder menthe poivree, arôme naturel ; tous issus de l'agriculture biologique. Saveur menthe poivrée. 	5.50€	50gr	sachet kraft	5,50 %	TVA05	"menthe_power_bio_sachet.jpg
menthe_power_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
Langage de fleurs bio	thé vert aromatisé saveur rose fruitée	Chine	Ce thé vert Langage de Fleurs charme nos papilles avec des notes douces et fleuries. Ce thé gourmand peut aussi bien se boire chaud que glacé grâce à l'élégance et la subtilité de la rose. 	Thé vert China Sencha* (77%), dattes (datte, farine de riz)* (21%), arôme naturel, pétales de rose*, fleurs d'immortelle*. *Issus de l'agriculture biologique. Saveur rose fruitée.	"8.50€
4.50€"	"100gr
50gr"	sachet kraft	5,50 %	TVA04	"langage_de_fleurs_bio_sachet.jpg
langage_de_fleurs_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
Douceur d'ailleurs bio	Thé vert aromatisé. Saveur mandarine-verveine		Ce thé vert Douceur d'Ailleurs est une séléction de thés renommés. Ajoutez à cela de la mandarine pour la fantaisie et de la verveine pour la douceur ; vous obtenez un doux mélange apaisant pour vos après-midi ou vos soirées.	The vert China Sencha*, the vert China Chun Mee*, the blanc Pai Mu Tan*, arome naturel, the vert Darjeeling OP*, ecorces d'orange*, verveine entiere*, fleurs de souci*. *Issu de l'agriculture biologique.Saveur mandarine-verveine. 	"10.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	TVA02	"douceur_d_ailleurs_bio_sachet.jpg
douceur_d_ailleurs_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
Aïe aïe aïe bio	Thé vert aromatisé. Saveur fraise-jasmin-piment		Le thé vert Aïe Aïe Aïe est un délicat mélange de thé vert et blanc avec des tranches de fraises. Ce délice gourmand laisse ressortir le goût de la fraise avec une touche de jasmin et piment en fin de bouche. Cela ne pique pas.	Thé vert China Sencha*, thé blanc Pai Mu Tan*, thé vert China Jasmin*, arôme naturel, fraise*, lavande*, chili*, échinacée pourpre*, guarana*. *Issu de l'agriculture biologique.	"10.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	TVA06	"aie_aie_aie_bio_sachet.jpg
aie_aie_aie_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
Chinagrume bio	Thé vert aromatisé. Saveur goyave-pamplemousse	Chine	Ce thé vert Chinagrume est un surprenant mélange d'agrumes. Ce breuvage d'une fraicheur acidulée peut se boire aussi bien chaud que frais.	Thé vert de Chine Sencha*, écorces de citron*, arôme naturel, mandarine*, lavande*. *Issu de l'agriculture biologique. Quantité/litre: 12-15gr/l. Temps d'infusion: 2-3 min. Température: 70-80°C.	"8.50€
4.50€"	"100gr
50gr"	sachet kraft	5,50 %	TVA03	"chinagrume_bio_sachet.jpg
chinagrume_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
La magie blanche														
Pep's bio	Thé blanc.              Saveur citron-ananas	Chine	Un coktail de fraicheur et une bouffée d'été s'installent dans votre tasse. Une rencontre douce et inattendue qui se déguste chaude comme froide.	Thé blanc Pai Mu Tan*, thé vert China Chun Mee*, écorces de citron*, arôme naturel, fleurs de souci*, ananas*. *Issu de l'agriculture biologique.	"17.50€
8.80€"	"100gr
50gr"	sachet kraft	5.50%	TBA01		2 mn	60-65°C	12-15g/L	0
